Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
906;Arendal;4;2,9;4,7;4,1;1;3,8;2,2;2,2;3;5,7;1,4
716;Re;4,3;3,1;4,6;4,4;3,7;3,3;2,4;3,3;2,3;4,7;1,2
829;Kviteseid;2,2;1,6;2,7;2,5;4,8;2,4;4,3;5,7;3,7;4,8;1,8
2011;Kautokeino;1,9;2,9;2,6;1,5;1,8;6;6;5;3,2;2,8;3,4
612;Hole;6;2,2;6;5,6;3,3;2,7;1;4,2;1;4,5;1
125;Eidsberg;4,1;4;3,7;4,6;1,7;2,1;2,6;3,8;2,5;6;1
1756;Inderøy;2,5;3,6;2,9;1,7;3,5;3,7;;;3,4;6;1,3
501;Lillehammer;4,1;4,6;3,8;4,4;3,8;2,7;2,6;3,7;2,2;5,1;1,6
822;Sauherad;3,2;2,6;4,3;3,3;2,5;3,2;3,5;3,6;2,5;5,2;1,6
709;Larvik;3,7;3,1;4,3;3,8;1,7;3,4;2,8;2,3;2,5;5,9;1
828;Seljord;3,2;1;5,1;2,9;4;1,7;3,7;3,4;3,6;4,2;2,5
1430;Gaular;3,5;1,2;5,4;3,8;5,7;1,5;3,2;4,6;2;4,5;1,7
1233;Ulvik;2,3;2,6;4;2;4,6;1,6;4,6;5,6;5;2,7;4
1664;Selbu;3,1;5,4;3,1;3,5;4,8;3,1;3,6;3,4;2,8;4,4;2,5
723;Tjøme;2,9;5,6;3,6;2,4;1,1;4,6;3;2;4,9;5;1
1624;Rissa;3,3;5,2;3,4;3,8;2,5;3,2;3,2;1;3,3;5,7;1,5
1824;Vefsn;2,5;2,4;4;2,5;3,5;4,2;2,9;3,9;4,3;4,3;2,1
1554;Averøy;3,3;1,4;3,7;3;3,6;3,6;3,5;2;3,3;4,8;1,7
1571;Halsa;1,3;2,9;2,2;1,1;2,8;2,2;4,8;5;4,8;5,4;2,3
1856;Røst;2;6;2,3;2;3,3;2,9;4,9;3,5;4;3,6;5
631;Flesberg;3,6;2,9;3,3;3,4;5,4;2,9;3;6;2,6;3,8;2,2
1939;Storfjord;1,9;2,2;2,2;1;2,2;5,3;5,5;3,6;4,2;3,1;4,1
1532;Giske;5,4;4,5;4,3;5,7;4,3;2,6;2,5;1,7;1;4,2;1,3
1004;Flekkefjord;3;2,5;4,4;3,4;3,2;2,2;3,8;2,9;3,4;4,4;1,8
1567;Rindal;3,3;2,6;3;3,7;5,3;3,1;3;4,3;3,3;4;2,3
106;Fredrikstad;4,4;3,8;4,3;4,6;1,1;3,9;1,9;3;3;4,8;1,4
1903;Harstad;3,4;3;4,6;3,3;2,9;3,3;;;2,5;4,1;2,1
1264;Austrheim;5,4;4,4;4,9;4,9;3,2;4,8;1,4;3;1;3,6;2,5
1266;Masfjorden;2,3;2,9;5;2,5;6;1;3,6;6;5;2;4,5
1721;Verdal;3,8;3,3;3,8;3,9;2,5;3,6;2,9;3,4;2,4;4,7;1,4
1241;Fusa;3,5;2,7;2,8;3,2;5;3,5;3;4,7;2,6;4,3;1,7
1718;Leksvik;2,4;3,4;3;1,9;3,6;1,9;4;4,3;2,8;6;1,2
2002;Vardø;1,5;6;1,1;1,8;1;1,6;6;1,3;5,8;4,5;4
418;Nord-Odal;3;3,1;3,5;3,4;1,6;3,9;3,4;2,9;3,2;5;1,4
437;Tynset;3,7;2,8;3,6;4,2;5,1;2,6;2;4,6;2,8;4,6;1,9
517;Sel;1,9;3,4;2,9;2,2;2,5;1,8;4,2;4,7;4,4;5,1;1,9
1630;Åfjord;2,9;6;2,4;3,7;5,1;2,6;3,5;2,7;4,3;4;1,6
1563;Sunndal;3,1;4,3;3,3;4;3;1,8;4;4,4;5,3;2;3,5
1029;Lindesnes;3,9;2,3;4,9;4,2;2,8;3,5;1,8;2,5;2,6;5;1,6
912;Vegårshei;4;1,8;5,4;5,2;3,1;2;2,9;3,3;2,8;3,6;2
1515;Herøy;3,2;3,1;3,9;2,9;3,5;2,9;2,8;2,7;2,7;5,5;1,4
1134;Suldal;2,2;2,3;4,1;1,8;6;1,8;4,3;5,8;5,3;1;6
